05-08 19:44:43.137  9792  9812 I TestRunner: started: insertAndQuery5kSubjects(com.example.benchmark.option1.BiometricTemplateWriteReadBenchmark)
05-08 19:44:45.136  9792  9812 I option1 : Benchmark option 1...
05-08 19:44:45.146  9792  9812 I option1 : 0 KB
05-08 19:44:47.401  9792  9812 I option1 : Insert time: 2254 ms
05-08 19:44:47.402  9792  9812 I option1 : 45512 KB
05-08 19:44:48.421  9792  9812 D Benchmark: -- Running com.example.benchmark.option1.BiometricTemplateWriteReadBenchmark#insertAndQuery5kSubjects --
05-08 19:44:55.267  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:55.332  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:55.427  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:55.522  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:55.522  9792  9812 I option1 : 17, 331
05-08 19:44:55.540  9792  9812 I option1 : Count result: 10000
05-08 19:44:55.577  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:55.616  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:55.680  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:55.778  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:55.871  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:55.871  9792  9812 I option1 : 17, 331
05-08 19:44:55.888  9792  9812 I option1 : Count result: 10000
05-08 19:44:55.926  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:55.964  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:56.027  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:56.122  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:56.217  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:56.217  9792  9812 I option1 : 16, 329
05-08 19:44:56.235  9792  9812 I option1 : Count result: 10000
05-08 19:44:56.272  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:56.312  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:56.377  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:56.472  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
